CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
49,1,1,1,19,19,1,1,0,0,149,19
97,2,1,3,23,24,4,4,0,0,146,42
182,3,1,6,52,55,10,10,0,0,140,94
269,4,1,5,53,62,15,15,0,0,135,147
362,5,1,4,55,69,19,19,0,0,131,202
435,6,1,23,52,69,42,42,0,0,108,254
490,7,1,16,47,66,58,58,0,0,92,301
541,8,1,20,43,68,78,78,0,0,72,344
590,9,1,14,41,77,92,92,0,0,58,385
642,10,1,11,42,86,103,103,0,0,47,427
677,11,1,7,32,86,110,110,0,0,40,459
705,12,1,4,26,86,114,114,0,0,36,485
730,13,1,3,23,86,117,117,0,0,33,508
738,14,2,1,8,14,118,118,0,0,32,516
